Date,Open,High,Low,Close,Volume,Adj Close
2015-03-20,18.66,18.90,18.57,18.64,16627500,18.64
2015-03-19,18.39,18.60,18.30,18.49,7171700,18.49
2015-03-18,18.14,18.70,18.08,18.46,14091700,18.46
2015-03-17,18.18,18.31,18.03,18.22,11088600,18.22
2015-03-16,18.25,18.36,17.96,18.03,7779900,18.03
2015-03-13,17.59,18.19,17.50,18.09,16194000,18.09
2015-03-12,18.30,18.37,17.84,18.06,11599000,18.06
2015-03-11,17.65,18.15,17.60,18.11,9905100,18.11
2015-03-10,18.18,18.29,17.70,17.70,13194900,17.70
2015-03-09,18.11,18.32,18.02,18.28,10343100,18.28
2015-03-06,18.37,18.44,18.11,18.22,7214100,18.22
2015-03-05,18.34,18.53,18.21,18.32,11712800,18.32
2015-03-04,18.14,18.42,18.00,18.23,12497200,18.23
2015-03-03,18.18,18.52,18.05,18.43,9012500,18.43
2015-03-02,18.31,18.33,18.03,18.08,8834400,18.08
2015-02-27,18.31,18.88,18.29,18.34,19221400,18.25
2015-02-26,18.39,18.39,18.08,18.30,15058000,18.21
2015-02-25,18.44,18.44,18.17,18.30,9642600,18.21
2015-02-24,18.48,18.60,18.36,18.54,9461400,18.45
2015-02-23,18.16,18.48,18.16,18.38,9115200,18.29
2015-02-20,18.29,18.30,18.05,18.20,5379900,18.11
2015-02-19,18.16,18.36,18.06,18.24,4452700,18.15
2015-02-18,18.13,18.38,18.05,18.25,12740100,18.16
2015-02-17,17.96,17.96,17.96,17.96,000,17.87
2015-02-16,17.96,17.96,17.96,17.96,000,17.87
2015-02-13,18.14,18.22,17.81,17.96,8850700,17.87
2015-02-12,18.09,18.19,17.96,18.10,9636000,18.01
2015-02-11,17.97,18.07,17.68,17.84,12246700,17.75
2015-02-10,18.06,18.13,17.83,17.98,10277900,17.89
2015-02-09,17.88,18.16,17.75,18.16,10129800,18.07
2015-02-06,17.59,17.92,17.35,17.85,9964300,17.76
2015-02-05,17.34,17.68,17.16,17.60,10614900,17.51
