Date,Open,High,Low,Close,Volume,Adj Close
2015-03-20,4.58,4.61,4.38,4.57,19635200,4.57
2015-03-19,4.54,4.60,4.41,4.51,4162200,4.51
2015-03-18,4.39,4.67,4.36,4.53,4165800,4.53
2015-03-17,4.34,4.50,4.25,4.40,6500800,4.40
2015-03-16,4.30,4.40,4.17,4.30,4033600,4.30
2015-03-13,4.09,4.33,4.04,4.25,3915800,4.25
2015-03-12,4.25,4.27,4.19,4.20,9065200,4.20
2015-03-11,4.18,4.27,4.09,4.17,4324000,4.17
2015-03-10,4.09,4.40,4.07,4.17,6235100,4.17
2015-03-09,4.45,4.52,4.17,4.18,7802600,4.18
2015-03-06,4.75,4.86,4.57,4.59,5487800,4.59
2015-03-05,5.09,5.10,4.77,4.82,6739300,4.82
2015-03-04,5.19,5.20,4.99,5.10,3293300,5.10
2015-03-03,5.46,5.50,5.23,5.30,3938500,5.30
2015-03-02,5.54,5.59,5.43,5.49,2882600,5.49
2015-02-27,5.65,5.66,5.48,5.58,4928000,5.58
2015-02-26,5.60,5.73,5.53,5.62,5445600,5.62
2015-02-25,5.40,5.53,5.35,5.53,2811100,5.53
2015-02-24,5.45,5.52,5.35,5.45,3487600,5.45
2015-02-23,5.36,5.48,5.25,5.45,4940600,5.45
2015-02-20,5.30,5.53,5.29,5.38,3103300,5.38
2015-02-19,5.26,5.43,5.16,5.30,3719700,5.30
2015-02-18,5.49,5.55,5.12,5.29,5449200,5.29
2015-02-17,5.38,5.38,5.38,5.38,000,5.38
2015-02-16,5.38,5.38,5.38,5.38,000,5.38
2015-02-13,5.73,5.82,5.34,5.38,5463500,5.38
2015-02-12,5.20,5.96,5.20,5.56,16784200,5.56
2015-02-11,4.67,5.10,4.57,5.10,16129600,5.10
2015-02-10,4.48,4.60,4.41,4.48,7047800,4.48
2015-02-09,4.62,4.76,4.35,4.50,7157900,4.50
2015-02-06,4.55,4.84,4.13,4.60,11495500,4.60
2015-02-05,3.64,4.42,3.63,4.42,13757700,4.42
2015-02-04,3.78,3.81,3.63,3.64,9863200,3.64
2015-02-03,3.74,3.79,3.65,3.78,3626800,3.78
2015-02-02,3.87,3.90,3.68,3.71,3545400,3.71
2015-01-30,3.92,3.94,3.67,3.85,7910500,3.85
2015-01-29,3.96,4.00,3.83,3.95,2819400,3.95
2015-01-28,3.87,4.01,3.82,3.96,2604100,3.96
2015-01-27,3.84,3.98,3.76,3.94,3791100,3.94
2015-01-26,3.92,3.97,3.82,3.88,4190600,3.88
2015-01-23,4.08,4.14,3.94,3.99,2315900,3.99
2015-01-22,4.08,4.14,3.98,4.00,4883000,4.00
2015-01-21,4.00,4.10,3.92,4.04,3140300,4.04
2015-01-20,4.10,4.19,3.96,3.96,5982700,3.96
2015-01-19,4.27,4.30,4.05,4.05,1670500,4.05
2015-01-16,4.27,4.37,4.22,4.31,7517400,4.31
2015-01-15,4.12,4.26,4.06,4.25,3815500,4.25
2015-01-14,4.10,4.15,4.05,4.10,2489900,4.10
2015-01-13,4.34,4.37,4.12,4.18,3946900,4.18
2015-01-12,4.45,4.52,4.30,4.32,1558200,4.32
2015-01-09,4.56,4.60,4.40,4.47,10952400,4.47
2015-01-08,4.52,4.65,4.39,4.57,1944500,4.57
2015-01-07,4.38,4.62,4.38,4.50,3090900,4.50
2015-01-06,4.55,4.55,4.33,4.36,4202800,4.36
2015-01-05,4.84,4.88,4.52,4.55,11513500,4.55
2015-01-02,5.06,5.08,4.82,4.89,2391800,4.89
2015-01-01,5.06,5.06,5.06,5.06,000,5.06
2014-12-31,5.06,5.06,5.06,5.06,000,5.06
2014-12-30,5.04,5.10,4.96,5.06,1984400,5.06
2014-12-29,4.92,5.05,4.88,5.01,1416500,5.01
2014-12-26,5.06,5.06,4.91,4.91,864300,4.91
2014-12-25,5.02,5.02,5.02,5.02,000,5.02
2014-12-24,5.02,5.02,5.02,5.02,000,5.02
2014-12-23,4.99,5.11,4.96,5.02,1928800,5.02
2014-12-22,4.98,5.08,4.96,5.00,1868600,5.00
2014-12-19,4.94,4.99,4.85,4.99,7461600,4.99
2014-12-18,5.21,5.29,4.90,4.90,2881700,4.90
2014-12-17,4.98,5.19,4.91,5.15,4803200,5.15
2014-12-16,4.85,5.03,4.84,4.96,5064400,4.96
2014-12-15,5.04,5.09,4.82,4.95,4561000,4.95
2014-12-12,4.89,5.06,4.87,5.02,5205400,5.02
2014-12-11,5.03,5.08,4.75,4.95,4857400,4.95
2014-12-10,4.98,5.11,4.90,5.01,4317000,5.01
2014-12-09,5.04,5.31,4.95,4.96,4549200,4.96
2014-12-08,5.27,5.37,5.00,5.07,11780600,5.07
2014-12-05,5.42,5.44,5.27,5.33,3148600,5.33
2014-12-04,5.59,5.62,5.40,5.40,3018500,5.40
2014-12-03,5.68,5.70,5.48,5.57,6512100,5.57
2014-12-02,5.94,6.00,5.55,5.65,27491300,5.65
2014-12-01,6.10,6.12,5.87,5.89,51747600,5.89
2014-11-28,6.10,6.23,6.03,6.21,6456700,6.21
2014-11-27,5.96,6.18,5.94,6.15,4597700,6.15
2014-11-26,6.09,6.14,5.85,5.93,7675100,5.93
2014-11-25,6.29,6.36,6.01,6.01,52254600,6.01
2014-11-24,6.60,6.77,6.26,6.29,5890700,6.29
2014-11-21,6.30,6.65,6.27,6.62,5820100,6.62
2014-11-20,6.27,6.27,6.27,6.27,000,6.27
2014-11-19,6.31,6.38,6.20,6.27,4584600,6.27
2014-11-18,6.25,6.34,6.17,6.27,4428600,6.27
2014-11-17,6.42,6.45,6.13,6.25,5097100,6.25
2014-11-14,6.41,6.43,6.33,6.39,4230500,6.39
2014-11-13,6.48,6.54,6.40,6.46,3136500,6.46
2014-11-12,6.51,6.53,6.41,6.48,5758900,6.48
2014-11-11,6.47,6.64,6.43,6.49,3143000,6.49
2014-11-10,6.49,6.54,6.31,6.53,4070500,6.53
2014-11-07,6.49,6.57,6.06,6.46,8023200,6.46
2014-11-06,6.88,6.88,6.49,6.62,5471100,6.62
2014-11-05,6.55,6.88,6.55,6.82,3197600,6.82
2014-11-04,6.61,6.65,6.45,6.55,4708200,6.55
2014-11-03,6.73,6.73,6.48,6.58,4120100,6.58
2014-10-31,6.37,6.80,6.24,6.79,7765600,6.79
2014-10-30,6.37,6.53,6.30,6.38,4601000,6.38
2014-10-29,6.32,6.58,6.23,6.42,6776700,6.42
2014-10-28,5.95,6.38,5.87,6.37,6389700,6.37
2014-10-27,5.90,5.90,5.90,5.90,7237000,5.90
2014-10-24,5.39,5.72,5.23,5.70,6371100,5.70
2014-10-23,5.32,5.32,5.07,5.30,10008400,5.30
2014-10-22,5.60,5.60,5.21,5.31,6691600,5.31
2014-10-21,5.57,5.57,5.57,5.57,6854600,5.57
2014-10-20,5.93,5.93,5.93,5.93,5387100,5.93
2014-10-17,5.95,6.14,5.83,6.05,3648500,6.05
2014-10-16,5.60,5.86,5.55,5.85,10973500,5.85
2014-10-15,5.94,5.94,5.60,5.68,6225200,5.68
2014-10-14,6.10,6.19,5.91,5.98,7628800,5.98
2014-10-13,6.01,6.24,5.83,6.17,7569400,6.17
2014-10-10,5.83,5.83,5.83,5.83,8473900,5.83
2014-10-09,6.46,6.53,6.21,6.26,5055700,6.26
2014-10-08,6.40,6.59,6.24,6.38,4456800,6.38
2014-10-07,6.37,6.44,6.12,6.34,9238100,6.34
2014-10-06,6.80,6.98,6.17,6.33,12983800,6.33
2014-10-03,6.22,6.48,6.03,6.42,5177200,6.42
2014-10-02,6.40,6.40,6.12,6.17,5905000,6.17
2014-10-01,6.27,6.50,6.26,6.37,4250100,6.37
2014-09-30,6.32,6.42,6.26,6.36,2686500,6.36
2014-09-29,6.40,6.58,6.25,6.38,3005400,6.38
2014-09-26,6.59,6.73,6.50,6.63,2868700,6.63
